,pivot,size,it,disorder,exec_time
307,primeiro,100,7,0.25,0.001000165939331
308,primeiro,100,8,0.25,0.0
309,primeiro,100,9,0.25,0.0
310,primeiro,1000,0,0.25,0.0049986839294433
311,primeiro,1000,1,0.25,0.0059998035430908
312,primeiro,1000,2,0.25,0.0039999485015869
313,primeiro,1000,3,0.25,0.0039999485015869
314,primeiro,1000,4,0.25,0.0050055980682373
315,primeiro,1000,5,0.25,0.0039975643157958
316,primeiro,1000,6,0.25,0.0130016803741455
317,primeiro,1000,7,0.25,0.0089988708496093
318,primeiro,1000,8,0.25,0.0060014724731445
319,primeiro,1000,9,0.25,0.0039992332458496
320,primeiro,10000,0,0.25,0.0789997577667236
321,primeiro,10000,1,0.25,0.0669991970062255
322,primeiro,10000,2,0.25,0.1070024967193603
323,primeiro,10000,3,0.25,0.0990011692047119
324,primeiro,10000,4,0.25,0.0609991550445556
325,primeiro,10000,5,0.25,0.0640003681182861
326,primeiro,10000,6,0.25,0.0689992904663086
327,primeiro,10000,7,0.25,0.0550184249877929
328,primeiro,10000,8,0.25,0.0689842700958252
329,primeiro,10000,9,0.25,0.0590009689331054
330,primeiro,100000,0,0.25,0.9069952964782716
331,primeiro,100000,1,0.25,0.805004358291626
332,primeiro,100000,2,0.25,0.6559972763061523
333,primeiro,100000,3,0.25,0.7250196933746338
334,primeiro,100000,4,0.25,0.8119800090789795
335,primeiro,100000,5,0.25,0.7360000610351562
336,primeiro,100000,6,0.25,0.897977352142334
337,primeiro,100000,7,0.25,0.7140166759490967
338,primeiro,100000,8,0.25,0.6869995594024658
339,primeiro,100000,9,0.25,0.6810033321380615
340,primeiro,1000000,0,0.25,8.252989768981934
341,primeiro,1000000,1,0.25,8.222996711730957
342,primeiro,1000000,2,0.25,8.554000616073608
343,primeiro,1000000,3,0.25,8.462992906570435
344,primeiro,1000000,4,0.25,8.391982316970825
345,primeiro,1000000,5,0.25,8.415002822875977
346,primeiro,1000000,6,0.25,9.325021028518677
347,primeiro,1000000,7,0.25,8.231985807418823
348,primeiro,1000000,8,0.25,8.74598503112793
349,primeiro,1000000,9,0.25,8.278995990753174
350,ultimo,100,0,0.25,0.0
351,ultimo,100,1,0.25,0.0
352,ultimo,100,2,0.25,0.0009999275207519
353,ultimo,100,3,0.25,0.0
354,ultimo,100,4,0.25,0.0
355,ultimo,100,5,0.25,0.0009996891021728
356,ultimo,100,6,0.25,0.0
357,ultimo,100,7,0.25,0.0
358,ultimo,100,8,0.25,0.0009999275207519
359,ultimo,100,9,0.25,0.0
360,ultimo,1000,0,0.25,0.0049982070922851
361,ultimo,1000,1,0.25,0.0050001144409179
362,ultimo,1000,2,0.25,0.0039997100830078
363,ultimo,1000,3,0.25,0.0049984455108642
364,ultimo,1000,4,0.25,0.0050044059753417
365,ultimo,1000,5,0.25,0.0039982795715332
366,ultimo,1000,6,0.25,0.0040004253387451
367,ultimo,1000,7,0.25,0.0039992332458496
368,ultimo,1000,8,0.25,0.0040011405944824
369,ultimo,1000,9,0.25,0.0039992332458496
370,ultimo,10000,0,0.25,0.0589985847473144
371,ultimo,10000,1,0.25,0.0720148086547851
372,ultimo,10000,2,0.25,0.0530200004577636
373,ultimo,10000,3,0.25,0.0569984912872314
374,ultimo,10000,4,0.25,0.0479998588562011
375,ultimo,10000,5,0.25,0.0539982318878173
376,ultimo,10000,6,0.25,0.0519995689392089
377,ultimo,10000,7,0.25,0.0569977760314941
378,ultimo,10000,8,0.25,0.0529983043670654
379,ultimo,10000,9,0.25,0.0509998798370361
380,ultimo,100000,0,0.25,0.741995096206665
381,ultimo,100000,1,0.25,0.6870160102844238
382,ultimo,100000,2,0.25,0.642998456954956
383,ultimo,100000,3,0.25,0.6640188694000244
384,ultimo,100000,4,0.25,0.7110018730163574
385,ultimo,100000,5,0.25,0.8050022125244141
386,ultimo,100000,6,0.25,0.6579973697662354
387,ultimo,100000,7,0.25,0.717012882232666
388,ultimo,100000,8,0.25,0.7719988822937012
389,ultimo,100000,9,0.25,0.691997766494751
390,ultimo,1000000,0,0.25,8.418005228042603
391,ultimo,1000000,1,0.25,9.483997583389282
392,ultimo,1000000,2,0.25,8.92199969291687
393,ultimo,1000000,3,0.25,8.189004898071289
394,ultimo,1000000,4,0.25,8.763980627059937
395,ultimo,1000000,5,0.25,7.986017465591431
396,ultimo,1000000,6,0.25,8.27999210357666
397,ultimo,1000000,7,0.25,10.659976243972778
398,ultimo,1000000,8,0.25,10.37098240852356
399,ultimo,1000000,9,0.25,8.69998049736023
400,centro,100,0,0.25,0.0
401,centro,100,1,0.25,0.0
402,centro,100,2,0.25,0.0
403,centro,100,3,0.25,0.0
404,centro,100,4,0.25,0.0
405,centro,100,5,0.25,0.0
406,centro,100,6,0.25,0.0009994506835937
407,centro,100,7,0.25,0.0
408,centro,100,8,0.25,0.0
409,centro,100,9,0.25,0.0
410,centro,1000,0,0.25,0.002997875213623
411,centro,1000,1,0.25,0.0029332637786865
412,centro,1000,2,0.25,0.0020017623901367
413,centro,1000,3,0.25,0.0019981861114501
414,centro,1000,4,0.25,0.0019996166229248
415,centro,1000,5,0.25,0.0030016899108886
416,centro,1000,6,0.25,0.001997947692871
417,centro,1000,7,0.25,0.0020003318786621
418,centro,1000,8,0.25,0.0029997825622558
419,centro,1000,9,0.25,0.0030179023742675
420,centro,10000,0,0.25,0.0359838008880615
421,centro,10000,1,0.25,0.031015396118164
422,centro,10000,2,0.25,0.0319828987121582
423,centro,10000,3,0.25,0.0310001373291015
424,centro,10000,4,0.25,0.0399982929229736
425,centro,10000,5,0.25,0.0329957008361816
426,centro,10000,6,0.25,0.0310194492340087
427,centro,10000,7,0.25,0.0299973487854003
428,centro,10000,8,0.25,0.0289981365203857
429,centro,10000,9,0.25,0.0300014019012451
430,centro,100000,0,0.25,0.368983507156372
431,centro,100000,1,0.25,0.4079964160919189
432,centro,100000,2,0.25,0.3770015239715576
433,centro,100000,3,0.25,0.4130001068115234
434,centro,100000,4,0.25,0.3880157470703125
435,centro,100000,5,0.25,0.3880150318145752
436,centro,100000,6,0.25,0.3980002403259277
437,centro,100000,7,0.25,0.3799982070922851
438,centro,100000,8,0.25,0.3890016078948974
439,centro,100000,9,0.25,0.3870186805725097
440,centro,1000000,0,0.25,4.757996320724487
441,centro,1000000,1,0.25,4.553995609283447
442,centro,1000000,2,0.25,4.776001453399658
443,centro,1000000,3,0.25,4.727995157241821
444,centro,1000000,4,0.25,4.600997686386108
445,centro,1000000,5,0.25,4.7409749031066895
446,centro,1000000,6,0.25,4.5380048751831055
447,centro,1000000,7,0.25,4.973003625869751
448,centro,1000000,8,0.25,4.400011301040649
449,centro,1000000,9,0.25,4.783997535705566
450,media3,100,0,0.25,0.0020196437835693
451,media3,100,1,0.25,0.0019998550415039
452,media3,100,2,0.25,0.0009825229644775
453,media3,100,3,0.25,0.0010011196136474
454,media3,100,4,0.25,0.00199556350708
455,media3,100,5,0.25,0.0020041465759277
456,media3,100,6,0.25,0.001000165939331
457,media3,100,7,0.25,0.0019989013671875
458,media3,100,8,0.25,0.0019996166229248
459,media3,100,9,0.25,0.0020008087158203
460,media3,1000,0,0.25,0.0229976177215576
461,media3,1000,1,0.25,0.0229988098144531
462,media3,1000,2,0.25,0.0240044593811035
463,media3,1000,3,0.25,0.0210003852844238
464,media3,1000,4,0.25,0.019998550415039
465,media3,1000,5,0.25,0.0220000743865966
466,media3,1000,6,0.25,0.0230047702789306
467,media3,1000,7,0.25,0.0240087509155273
468,media3,1000,8,0.25,0.0229899883270263
469,media3,1000,9,0.25,0.0219957828521728
470,media3,10000,0,0.25,0.3210177421569824
471,media3,10000,1,0.25,0.2839949131011963
472,media3,10000,2,0.25,0.2939851284027099
473,media3,10000,3,0.25,0.2800137996673584
474,media3,10000,4,0.25,0.2699861526489258
475,media3,10000,5,0.25,0.2679989337921142
476,media3,10000,6,0.25,0.2729980945587158
477,media3,10000,7,0.25,0.3149983882904053
478,media3,10000,8,0.25,0.2799973487854004
479,media3,10000,9,0.25,0.2739801406860351
480,media3,100000,0,0.25,3.484020948410034
481,media3,100000,1,0.25,3.670015811920166
482,media3,100000,2,0.25,3.550999164581299
483,media3,100000,3,0.25,3.379004955291748
484,media3,100000,4,0.25,3.770004987716675
485,media3,100000,5,0.25,3.641978263854981
486,media3,100000,6,0.25,3.4559993743896484
487,media3,100000,7,0.25,3.970004081726074
488,media3,100000,8,0.25,4.3560004234313965
489,media3,100000,9,0.25,3.778005838394165
490,media3,1000000,0,0.25,48.88994145393372
491,media3,1000000,1,0.25,45.27500867843628
492,media3,1000000,2,0.25,44.16301345825195
493,media3,1000000,3,0.25,45.22901940345764
494,media3,1000000,4,0.25,47.33642268180847
495,media3,1000000,5,0.25,47.8943247795105
496,media3,1000000,6,0.25,53.09821796417236
497,media3,1000000,7,0.25,55.12469816207886
498,media3,1000000,8,0.25,49.43403458595276
499,media3,1000000,9,0.25,50.032710552215576
500,random,100,0,0.25,0.0
501,random,100,1,0.25,0.0009994506835937
502,random,100,2,0.25,0.0
503,random,100,3,0.25,0.0010004043579101
504,random,100,4,0.25,0.0
505,random,100,5,0.25,0.0010006427764892
506,random,100,6,0.25,0.0009994506835937
507,random,100,7,0.25,0.0
508,random,100,8,0.25,0.0
509,random,100,9,0.25,0.0009999275207519
510,random,1000,0,0.25,0.005000352859497
511,random,1000,1,0.25,0.0039997100830078
512,random,1000,2,0.25,0.0050010681152343
513,random,1000,3,0.25,0.0049977302551269
514,random,1000,4,0.25,0.0049993991851806
515,random,1000,5,0.25,0.0049998760223388
516,random,1000,6,0.25,0.0120027065277099
517,random,1000,7,0.25,0.0039968490600585
518,random,1000,8,0.25,0.0100033283233642
519,random,1000,9,0.25,0.004000186920166
520,random,10000,0,0.25,0.0759980678558349
521,random,10000,1,0.25,0.0520186424255371
522,random,10000,2,0.25,0.0659871101379394
523,random,10000,3,0.25,0.0559980869293212
524,random,10000,4,0.25,0.0650043487548828
525,random,10000,5,0.25,0.061995506286621
526,random,10000,6,0.25,0.0590171813964843
527,random,10000,7,0.25,0.0649995803833007
