,pivot,size,it,disorder,exec_time
43,mediana,1000000,3,0.05,5.070997714996338
44,mediana,1000000,4,0.05,4.630978345870972
45,mediana,1000000,5,0.05,4.733011960983276
46,mediana,1000000,6,0.05,4.189998149871826
47,mediana,1000000,7,0.05,4.441014766693115
48,mediana,1000000,8,0.05,4.001999378204346
49,mediana,1000000,9,0.05,5.187002182006836
50,mediana,100,0,0.25,0.0009999275207519531
51,mediana,100,1,0.25,0.0
52,mediana,100,2,0.25,0.0
53,mediana,100,3,0.25,0.0
54,mediana,100,4,0.25,0.0
55,mediana,100,5,0.25,0.0009946823120117188
56,mediana,100,6,0.25,0.0
57,mediana,100,7,0.25,0.001001119613647461
58,mediana,100,8,0.25,0.0
59,mediana,100,9,0.25,0.0
60,mediana,1000,0,0.25,0.003996610641479492
61,mediana,1000,1,0.25,0.003000974655151367
62,mediana,1000,2,0.25,0.005000114440917969
63,mediana,1000,3,0.25,0.003006458282470703
64,mediana,1000,4,0.25,0.003993034362792969
65,mediana,1000,5,0.25,0.006001472473144531
66,mediana,1000,6,0.25,0.003998517990112305
67,mediana,1000,7,0.25,0.0050046443939208984
68,mediana,1000,8,0.25,0.0039861202239990234
69,mediana,1000,9,0.25,0.002994060516357422
70,mediana,10000,0,0.25,0.06200122833251953
71,mediana,10000,1,0.25,0.1270008087158203
72,mediana,10000,2,0.25,0.10699963569641113
73,mediana,10000,3,0.25,0.10799741744995117
74,mediana,10000,4,0.25,0.10499882698059082
75,mediana,10000,5,0.25,0.047997236251831055
76,mediana,10000,6,0.25,0.04101824760437012
77,mediana,10000,7,0.25,0.03800392150878906
78,mediana,10000,8,0.25,0.04700040817260742
79,mediana,10000,9,0.25,0.1000063419342041
80,mediana,100000,0,0.25,0.6709940433502197
81,mediana,100000,1,0.25,0.7659969329833984
82,mediana,100000,2,0.25,0.5069878101348877
83,mediana,100000,3,0.25,0.48801708221435547
84,mediana,100000,4,0.25,0.46999049186706543
85,mediana,100000,5,0.25,0.4479944705963135
86,mediana,100000,6,0.25,0.4289989471435547
87,mediana,100000,7,0.25,0.5079975128173828
88,mediana,100000,8,0.25,0.8139986991882324
89,mediana,100000,9,0.25,0.47199511528015137
90,mediana,1000000,0,0.25,6.352998733520508
91,mediana,1000000,1,0.25,6.1639978885650635
92,mediana,1000000,2,0.25,5.556003093719482
93,mediana,1000000,3,0.25,5.938002109527588
94,mediana,1000000,4,0.25,6.909998655319214
95,mediana,1000000,5,0.25,7.518019914627075
96,mediana,1000000,6,0.25,10.02204966545105
97,mediana,1000000,7,0.25,10.69999647140503
98,mediana,1000000,8,0.25,5.306851863861084
99,mediana,1000000,9,0.25,7.421998023986816
100,mediana,100,0,0.45,0.0009968280792236328
101,mediana,100,1,0.45,0.0009999275207519531
102,mediana,100,2,0.45,0.0
103,mediana,100,3,0.45,0.0
104,mediana,100,4,0.45,0.0010025501251220703
105,mediana,100,5,0.45,0.0010004043579101562
106,mediana,100,6,0.45,0.0
107,mediana,100,7,0.45,0.0
108,mediana,100,8,0.45,0.00099945068359375
109,mediana,100,9,0.45,0.0
110,mediana,1000,0,0.45,0.0029981136322021484
111,mediana,1000,1,0.45,0.003000020980834961
112,mediana,1000,2,0.45,0.003000974655151367
113,mediana,1000,3,0.45,0.0029973983764648438
114,mediana,1000,4,0.45,0.005002498626708984
115,mediana,1000,5,0.45,0.0050029754638671875
116,mediana,1000,6,0.45,0.003994464874267578
117,mediana,1000,7,0.45,0.004000186920166016
118,mediana,1000,8,0.45,0.004000425338745117
119,mediana,1000,9,0.45,0.0029990673065185547
120,mediana,10000,0,0.45,0.04900074005126953
121,mediana,10000,1,0.45,0.04300236701965332
122,mediana,10000,2,0.45,0.047003984451293945
123,mediana,10000,3,0.45,0.047995805740356445
124,mediana,10000,4,0.45,0.044011831283569336
125,mediana,10000,5,0.45,0.04900670051574707
126,mediana,10000,6,0.45,0.04899787902832031
127,mediana,10000,7,0.45,0.05199456214904785
128,mediana,10000,8,0.45,0.047986507415771484
129,mediana,10000,9,0.45,0.04700589179992676
130,mediana,100000,0,0.45,0.572995662689209
131,mediana,100000,1,0.45,0.5840001106262207
132,mediana,100000,2,0.45,0.548997163772583
133,mediana,100000,3,0.45,0.5440011024475098
134,mediana,100000,4,0.45,0.6180160045623779
135,mediana,100000,5,0.45,0.5970001220703125
136,mediana,100000,6,0.45,0.6279792785644531
137,mediana,100000,7,0.45,0.5679936408996582
138,mediana,100000,8,0.45,0.7939980030059814
139,mediana,100000,9,0.45,0.6599948406219482
140,mediana,1000000,0,0.45,7.234996318817139
141,mediana,1000000,1,0.45,7.43699836730957
142,mediana,1000000,2,0.45,7.828996896743774
143,mediana,1000000,3,0.45,7.910998582839966
144,mediana,1000000,4,0.45,7.149999141693115
145,mediana,1000000,5,0.45,7.023000955581665
146,mediana,1000000,6,0.45,8.178998947143555
147,mediana,1000000,7,0.45,6.440019845962524
148,mediana,1000000,8,0.45,6.3759989738464355
149,mediana,1000000,9,0.45,5.949986696243286
