,pivot,size,it,disorder,exec_time
208,mediana,100,8,0.05,0.0010042190551757812
209,mediana,100,9,0.05,0.0009989738464355469
210,mediana,1000,0,0.05,0.015017509460449219
211,mediana,1000,1,0.05,0.01299905776977539
212,mediana,1000,2,0.05,0.013000011444091797
213,mediana,1000,3,0.05,0.013000726699829102
214,mediana,1000,4,0.05,0.02899932861328125
215,mediana,1000,5,0.05,0.013001680374145508
216,mediana,1000,6,0.05,0.01302027702331543
217,mediana,1000,7,0.05,0.012995004653930664
218,mediana,1000,8,0.05,0.023001432418823242
219,mediana,1000,9,0.05,0.01398324966430664
220,mediana,10000,0,0.05,0.24000048637390137
221,mediana,10000,1,0.05,0.21300101280212402
222,mediana,10000,2,0.05,0.23001599311828613
223,mediana,10000,3,0.05,0.22197890281677246
224,mediana,10000,4,0.05,0.203016996383667
225,mediana,10000,5,0.05,0.19999980926513672
226,mediana,10000,6,0.05,0.19499969482421875
227,mediana,10000,7,0.05,0.2199995517730713
228,mediana,10000,8,0.05,0.20200204849243164
229,mediana,10000,9,0.05,0.24198675155639648
230,mediana,100000,0,0.05,1.8209974765777588
231,mediana,100000,1,0.05,1.7930011749267578
232,mediana,100000,2,0.05,1.9599978923797607
233,mediana,100000,3,0.05,1.9100008010864258
234,mediana,100000,4,0.05,2.1440024375915527
235,mediana,100000,5,0.05,1.8619983196258545
236,mediana,100000,6,0.05,1.8949992656707764
237,mediana,100000,7,0.05,2.7670018672943115
238,mediana,100000,8,0.05,2.6229991912841797
239,mediana,100000,9,0.05,2.733997106552124
240,mediana,1000000,0,0.05,21.759998321533203
241,mediana,1000000,1,0.05,20.67127251625061
242,mediana,1000000,2,0.05,20.23836660385132
243,mediana,1000000,3,0.05,21.207046508789062
244,mediana,1000000,4,0.05,20.01225757598877
245,mediana,1000000,5,0.05,21.581272840499878
246,mediana,1000000,6,0.05,17.291506052017212
247,mediana,1000000,7,0.05,18.79014825820923
248,mediana,1000000,8,0.05,18.061920642852783
249,mediana,1000000,9,0.05,20.179499626159668
250,achapivo,100,0,0.05,0.0
251,achapivo,100,1,0.05,0.0
252,achapivo,100,2,0.05,0.0
253,achapivo,100,3,0.05,0.0
254,achapivo,100,4,0.05,0.0
255,achapivo,100,5,0.05,0.0
256,achapivo,100,6,0.05,0.0
257,achapivo,100,7,0.05,0.0
258,achapivo,100,8,0.05,0.0
259,achapivo,100,9,0.05,0.0
260,achapivo,1000,0,0.05,0.0019948482513427734
261,achapivo,1000,1,0.05,0.0020148754119873047
262,achapivo,1000,2,0.05,0.0009989738464355469
263,achapivo,1000,3,0.05,0.0009996891021728516
264,achapivo,1000,4,0.05,0.0010006427764892578
265,achapivo,1000,5,0.05,0.00099945068359375
266,achapivo,1000,6,0.05,0.001004934310913086
267,achapivo,1000,7,0.05,0.0009999275207519531
268,achapivo,1000,8,0.05,0.0010006427764892578
269,achapivo,1000,9,0.05,0.0009992122650146484
270,achapivo,10000,0,0.05,0.026994705200195312
271,achapivo,10000,1,0.05,0.029988765716552734
272,achapivo,10000,2,0.05,0.019999265670776367
273,achapivo,10000,3,0.05,0.019001483917236328
274,achapivo,10000,4,0.05,0.023981094360351562
275,achapivo,10000,5,0.05,0.02198934555053711
276,achapivo,10000,6,0.05,0.025989770889282227
277,achapivo,10000,7,0.05,0.021997928619384766
278,achapivo,10000,8,0.05,0.022001266479492188
279,achapivo,10000,9,0.05,0.025000572204589844
280,achapivo,100000,0,0.05,0.2739992141723633
281,achapivo,100000,1,0.05,0.303999662399292
282,achapivo,100000,2,0.05,0.29201674461364746
283,achapivo,100000,3,0.05,0.26200413703918457
284,achapivo,100000,4,0.05,0.3070075511932373
285,achapivo,100000,5,0.05,0.2670001983642578
286,achapivo,100000,6,0.05,0.26699066162109375
287,achapivo,100000,7,0.05,0.34100818634033203
288,achapivo,100000,8,0.05,0.5159955024719238
289,achapivo,100000,9,0.05,0.3489973545074463
290,achapivo,1000000,0,0.05,4.015998125076294
291,achapivo,1000000,1,0.05,3.990999460220337
292,achapivo,1000000,2,0.05,4.688999891281128
293,achapivo,1000000,3,0.05,3.9230189323425293
294,achapivo,1000000,4,0.05,3.9040000438690186
295,achapivo,1000000,5,0.05,5.079001426696777
296,achapivo,1000000,6,0.05,4.885998010635376
297,achapivo,1000000,7,0.05,3.54500150680542
298,achapivo,1000000,8,0.05,3.9589996337890625
299,achapivo,1000000,9,0.05,4.402003288269043
300,primeiro,100,0,0.25,0.0
301,primeiro,100,1,0.25,0.0009999275207519531
302,primeiro,100,2,0.25,0.0
303,primeiro,100,3,0.25,0.0
304,primeiro,100,4,0.25,0.0
305,primeiro,100,5,0.25,0.0
306,primeiro,100,6,0.25,0.0010001659393310547
307,primeiro,100,7,0.25,0.0
308,primeiro,100,8,0.25,0.0010004043579101562
309,primeiro,100,9,0.25,0.0
310,primeiro,1000,0,0.25,0.00500178337097168
311,primeiro,1000,1,0.25,0.00500178337097168
312,primeiro,1000,2,0.25,0.005997657775878906
313,primeiro,1000,3,0.25,0.005000591278076172
314,primeiro,1000,4,0.25,0.0029969215393066406
315,primeiro,1000,5,0.25,0.00600123405456543
316,primeiro,1000,6,0.25,0.004004001617431641
317,primeiro,1000,7,0.25,0.004998445510864258
318,primeiro,1000,8,0.25,0.009998083114624023
319,primeiro,1000,9,0.25,0.003998517990112305
320,primeiro,10000,0,0.25,0.0839989185333252
321,primeiro,10000,1,0.25,0.06600713729858398
322,primeiro,10000,2,0.25,0.05800318717956543
323,primeiro,10000,3,0.25,0.050993919372558594
324,primeiro,10000,4,0.25,0.04901909828186035
325,primeiro,10000,5,0.25,0.05000019073486328
326,primeiro,10000,6,0.25,0.06600093841552734
327,primeiro,10000,7,0.25,0.06799602508544922
328,primeiro,10000,8,0.25,0.057004690170288086
329,primeiro,10000,9,0.25,0.05701184272766113
