,pivot,size,it,disorder,exec_time
222,random,10000,2,0.05,0.051998138427734375
223,random,10000,3,0.05,0.06200003623962402
224,random,10000,4,0.05,0.06700825691223145
225,random,10000,5,0.05,0.0690000057220459
226,random,10000,6,0.05,0.051978111267089844
227,random,10000,7,0.05,0.06400394439697266
228,random,10000,8,0.05,0.05296969413757324
229,random,10000,9,0.05,0.06202125549316406
230,random,100000,0,0.05,0.7350044250488281
231,random,100000,1,0.05,0.6359989643096924
232,random,100000,2,0.05,0.7040195465087891
233,random,100000,3,0.05,0.656977653503418
234,random,100000,4,0.05,0.6790006160736084
235,random,100000,5,0.05,0.6399810314178467
236,random,100000,6,0.05,0.6909956932067871
237,random,100000,7,0.05,0.621018648147583
238,random,100000,8,0.05,0.6129841804504395
239,random,100000,9,0.05,0.5830190181732178
240,random,1000000,0,0.05,7.460005044937134
241,random,1000000,1,0.05,6.856993913650513
242,random,1000000,2,0.05,7.672994136810303
243,random,1000000,3,0.05,7.254003524780273
244,random,1000000,4,0.05,7.177009105682373
245,random,1000000,5,0.05,7.8929970264434814
246,random,1000000,6,0.05,7.161984205245972
247,random,1000000,7,0.05,7.016998529434204
248,random,1000000,8,0.05,7.648999452590942
249,random,1000000,9,0.05,7.243984937667847
250,mediana,100,0,0.05,0.0030126571655273438
251,mediana,100,1,0.05,0.004995107650756836
252,mediana,100,2,0.05,0.003008604049682617
253,mediana,100,3,0.05,0.002004384994506836
254,mediana,100,4,0.05,0.0019915103912353516
255,mediana,100,5,0.05,0.0019986629486083984
256,mediana,100,6,0.05,0.004003763198852539
257,mediana,100,7,0.05,0.0030107498168945312
258,mediana,100,8,0.05,0.002986431121826172
259,mediana,100,9,0.05,0.0029976367950439453
260,mediana,1000,0,0.05,0.029020309448242188
261,mediana,1000,1,0.05,0.030999422073364258
262,mediana,1000,2,0.05,0.03799915313720703
263,mediana,1000,3,0.05,0.02899312973022461
264,mediana,1000,4,0.05,0.028996706008911133
265,mediana,1000,5,0.05,0.034021615982055664
266,mediana,1000,6,0.05,0.030981779098510742
267,mediana,1000,7,0.05,0.029977798461914062
268,mediana,1000,8,0.05,0.031002044677734375
269,mediana,1000,9,0.05,0.03599905967712402
270,mediana,10000,0,0.05,0.6570210456848145
271,mediana,10000,1,0.05,0.5190174579620361
272,mediana,10000,2,0.05,0.5
273,mediana,10000,3,0.05,0.50699782371521
274,mediana,10000,4,0.05,0.5050215721130371
275,mediana,10000,5,0.05,0.4669952392578125
276,mediana,10000,6,0.05,0.4669914245605469
277,mediana,10000,7,0.05,0.46900224685668945
278,mediana,10000,8,0.05,0.45200347900390625
279,mediana,10000,9,0.05,0.44798970222473145
280,mediana,100000,0,0.05,4.933022499084473
281,mediana,100000,1,0.05,5.006004333496094
282,mediana,100000,2,0.05,5.625993251800537
283,mediana,100000,3,0.05,5.723998069763184
284,mediana,100000,4,0.05,4.95198655128479
285,mediana,100000,5,0.05,5.879993677139282
286,mediana,100000,6,0.05,6.007986545562744
287,mediana,100000,7,0.05,6.674518585205078
288,mediana,100000,8,0.05,5.408011436462402
289,mediana,100000,9,0.05,7.278985977172852
290,mediana,1000000,0,0.05,50.594094038009644
291,mediana,1000000,1,0.05,50.763012647628784
292,mediana,1000000,2,0.05,52.117021322250366
293,mediana,1000000,3,0.05,49.204994201660156
294,mediana,1000000,4,0.05,56.55714416503906
295,mediana,1000000,5,0.05,59.28645157814026
296,mediana,1000000,6,0.05,59.09827542304993
297,mediana,1000000,7,0.05,61.51215720176697
298,mediana,1000000,8,0.05,59.26606559753418
299,mediana,1000000,9,0.05,58.79856491088867
300,achapivo,100,0,0.05,0.0
301,achapivo,100,1,0.05,0.0
302,achapivo,100,2,0.05,0.0
303,achapivo,100,3,0.05,0.0
304,achapivo,100,4,0.05,0.0
305,achapivo,100,5,0.05,0.0010290145874023438
306,achapivo,100,6,0.05,0.0
307,achapivo,100,7,0.05,0.0009665489196777344
308,achapivo,100,8,0.05,0.0
309,achapivo,100,9,0.05,0.0
310,achapivo,1000,0,0.05,0.004000186920166016
311,achapivo,1000,1,0.05,0.005017757415771484
312,achapivo,1000,2,0.05,0.0030002593994140625
313,achapivo,1000,3,0.05,0.008002758026123047
314,achapivo,1000,4,0.05,0.004997968673706055
315,achapivo,1000,5,0.05,0.0070002079010009766
316,achapivo,1000,6,0.05,0.003000497817993164
317,achapivo,1000,7,0.05,0.003999471664428711
318,achapivo,1000,8,0.05,0.0059969425201416016
319,achapivo,1000,9,0.05,0.007001399993896484
320,achapivo,10000,0,0.05,0.31301188468933105
321,achapivo,10000,1,0.05,0.20101332664489746
322,achapivo,10000,2,0.05,0.19799280166625977
323,achapivo,10000,3,0.05,0.2129988670349121
324,achapivo,10000,4,0.05,0.2180006504058838
325,achapivo,10000,5,0.05,0.13901495933532715
326,achapivo,10000,6,0.05,0.25098562240600586
327,achapivo,10000,7,0.05,0.21599531173706055
328,achapivo,10000,8,0.05,0.26601123809814453
329,achapivo,10000,9,0.05,0.185988187789917
330,achapivo,100000,0,0.05,3.925025224685669
331,achapivo,100000,1,0.05,6.5999977588653564
332,achapivo,100000,2,0.05,7.616001129150391
333,achapivo,100000,3,0.05,7.642998695373535
334,achapivo,100000,4,0.05,5.609992980957031
335,achapivo,100000,5,0.05,5.458997011184692
